 店舗名,店舗住所,カテゴリー,電話番号,URL
炭火焼肉とみや学園前本店,〒630-0036 奈良県奈良市学園北2-5-9,飲食店,0742-51-0209,-
鳥貴族  東生駒店,〒630-0052 奈良県生駒市山崎町4-10,飲食店,0743-87-9955,https://torikizoku.co.jp/store/l/-/-/609
観光旅館  くろんど荘,〒630-0101 奈良県生駒市高山町5035番地,旅館・ホテル,0743-78-5151,http://kurondoso.jp
リンガーハットイオンモール奈良登美ヶ丘店,〒630-0115 奈良県生駒市鹿畑町3027イオンモール奈良登美ヶ丘店2F,飲食店,0743-70-0145,-
錦わらい  イオンモール奈良登美ヶ丘店,〒630-0115 奈良県生駒市鹿畑町3027イオンモール奈良登美ヶ丘2F,飲食店,0743-72-3227,-
ガスト 生駒鹿の台東,〒630-0115 奈良県生駒市鹿畑町７３－１,飲食店,0743-70-1773,-
創士庵,〒630-0122 奈良県生駒市真弓2丁目4-21,飲食店,0743-78-5953,http://www.sousian.com
中国菜館  桂花,〒630-0123 奈良県生駒市真弓南1-10-7,飲食店,0743-79-0031,http://www.c-keika.com/
うどん＋食彩  いな田,〒630-0123 奈良県生駒市真弓南1-10-1,飲食店,0743-79-0660,-
サンマルク学園前店,〒630-0131 奈良県生駒市上町5930-1,飲食店,0743-79-1309,-
ワンカルビ北生駒店,〒630-0131 奈良県生駒市上町3414,飲食店,0743-78-8929,http://www.1dining.co.jp/
きんのぶた北生駒上町店,〒630-0131 奈良県生駒市上町3414,飲食店,0743-78-2901,http://www.1dining.co.jp/
そば処山の神,〒630-0135 奈良県生駒市南田原町２３０番地,飲食店,0743-79-9238,-
バーミヤン 生駒白庭台,〒630-0136 奈良県生駒市白庭台２丁目１２－１１,飲食店,0743-72-3775,-
生駒西白庭台食堂,〒630-0137 奈良県生駒市西白庭台3-9-1,飲食店,0743-72-6636,http://www.fujiofood.com/
かつ満  生駒西白庭台,〒630-0137 奈良県生駒市西白庭台3-9-1,飲食店,0743-79-9049,http://www.fujiofood.com/
来来亭生駒店,〒630-0201 奈良県生駒市小明町390－1来来亭生駒店,飲食店,0743-73-3002,-
天下一品  東生駒店,〒630-0201 奈良県生駒市小明町1057-1,飲食店,0743-73-5575,-
お好み焼き・鉄板焼き・さんわ,〒630-0201 奈良県生駒市小明町553-1,飲食店,0743-73-3938,-
やきとりの扇屋  東生駒店,〒630-0201 奈良県生駒市小明町429-1,飲食店,0743-85-5960,https://tabelog.com/nara/A2902/A290201/29010057/
ガスト 東生駒,〒630-0201 奈良県生駒市小明町５５８－１,飲食店,0743-70-8271,-
やよい軒生駒店,〒630-0201 奈良県生駒市小明町428-1,飲食店,0743-74-5005,-
China Garden 笑空,〒630-0201 奈良県生駒市小明町１５４７－１,飲食店,0743-89-0642,-
サーティワンヒルステップ生駒店,〒630-0201 奈良県生駒市小明町261-4,飲食店,0743-73-8431,-
和食さと  東生駒店,〒630-0212 奈良県生駒市辻町241-1,飲食店,0743-73-9338,-
看板のない隠れ家 Restaurant～足跡～,〒630-0212 奈良県生駒市辻町70-14アーバンライフA103,飲食店,0743-73-7877,https://restaurantashiato.wixsite.com/ikoma0925
鮮菜一貫,〒630-0212 奈良県生駒市辻町70-14アーバンライフA102,飲食店,0743-73-7615,-
居酒屋 まいぺーす,〒630-0213 奈良県生駒市東生駒1-156メゾンムスタッシュ,飲食店,0743-89-1899,-
BABY  FACE  PLANET’S  東生駒店,〒630-0215 奈良県生駒市東菜畑1-297,飲食店,0743-73-7777,http://bf-nara.com/
ココス東生駒店,〒630-0215 奈良県生駒市東菜畑１－２９４,飲食店,0743-71-6550,https://www.f-star.co.jp/
魚の台所 和樂,〒630-0215 奈良県生駒市東菜畑1-310-3東生駒パンション,飲食店,0743-73-1288,-
炭火焼鳥 とり夢亭 本店,〒630-0215 奈良県生駒市東菜畑1丁目182-1クインズコート生駒107,飲食店,0743-75-3885,https://www.torimutei.com/
にぎり長次郎奈良壱分店,〒630-0222 奈良県生駒市壱分町81-6,飲食店,0743-86-4803,http://chojiro.jp/shop/shop.php?id=61
カフェ・メリメロ,〒630-0223 奈良県生駒市小瀬町27-1-102中辻マンション,飲食店,0743-77-0805,https://business.google.com/u/1/site/l/06741673157033824062
ステーキガスト 生駒南,〒630-0226 奈良県生駒市小平尾町１２１－１,飲食店,0743-76-3660,-
すき家  168号生駒壱分店,〒630-0233 奈良県生駒市有里町108-1,飲食店,0120-498-007,-
ミスタードーナツベルテラスいこま店,〒630-0245 奈良県生駒市北新町10-36-305,飲食店,0742-73-3033,-
地鶏炭火焼  鶏扱説明所  生駒店,〒630-0245 奈良県生駒市北新町１０－３６ベルテラスいこま３階,飲食店,0743-71-8829,https://hitosara.com/0006107909/
甘味  IKOMAYA,〒630-0245 奈良県生駒市元町1-14-1  305-3,飲食店,0743-73-5150,-
鎌倉パスタ  ベルテラスいこま店,〒630-0245 奈良県生駒市北新町2043番地,飲食店,0743-71-9309,https://www.saint-marc-hd.com/kamakura/
Bar  Charleston,〒630-0246 奈良県生駒市西松ケ丘１－４３ナビール三和２０４,飲食店,0743-73-1677,-
桃谷樓  生駒店,〒630-0251 奈良県生駒市谷田町1600近鉄百貨店生駒店６F,飲食店,0743-72-2983,https://www.tokokuro.jp/shop/ikoma/index.html
オランダ屋生駒店,〒630-0252 奈良県生駒市山崎町2-6,飲食店,0743-73-3811,https://www.fujieda-coffee.co.jp/cafe-ikoma.html
レストランアヴォートルサンテ,〒630-0253 奈良県生駒市新旭ケ丘6-26,飲食店,0743-75-8123,-
